"PyDev - Editor","Add Comment Block","Ctrl+4","PyDev editor scope"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+H","C/C++ Editor"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Scala Editor","Open Implicit","Alt+F3","Editing Scala Source"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Terminal Widget","Terminal view insert","Alt+G","Terminal Widget"
"PyDev - Editor","Python Uncomment","Ctrl+\","PyDev editor scope"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"PyDev - Editor","Python Collapse All","Ctrl+9","PyDev editor scope"
"File","New","Ctrl+N","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","Editing D Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"PyDev - Editor","Python Show Global Tokens (Global)","Shift+Ctrl+T","PyDev view"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"PyDev - Editor","Add Single Comment Block","Shift+Ctrl+4","PyDev editor scope"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Search","References in Workspace","Shift+Ctrl+G","Editing Script Source"
"Navigate","Next Page","Alt+F7","In Windows"
"PyDev - Editor","Next Method or Class","Shift+Ctrl+Down","PyDev editor scope"
"PyDev - Run","Relaunch last pydev launch","Shift+Ctrl+F9","PyDev editor scope"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Refactor - DLTK","Rename - Refactoring ","Shift+Alt+R","Editing Script Source"
"Run/Debug","Send Selection to Scala Interpreter","Shift+Ctrl+X","Editing Scala Source"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Navigate","Open Type Hierarchy","F4","Editing Script Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Refactor - DLTK","Show Refactor Quick Menu","Shift+Alt+T","DLTK View"
"Text Editing","Next Word","Ctrl+Right","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Terminal Widget","Terminal view insert","Alt+F","Terminal Widget"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","Debugging Script"
"Terminal Widget","Terminal view insert","Alt+R","Terminal Widget"
"Script Source","Add Javadoc Comment","Shift+Alt+J","Editing Script Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Terminal Widget","Terminal view insert","Alt+T","Terminal Widget"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"PyDev - Editor","Python Un Collapse","Ctrl+=","PyDev editor scope"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Script Source","Format","Shift+Ctrl+F","Editing Script Source"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Navigate","Previous Tab","Shift+Ctrl+Tab","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Terminal Widget","Terminal view insert","Alt+W","Terminal Widget"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"DDT Command Category","Open D Type","Shift+Ctrl+T","Editing D Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Refactor - Scala","Organize Imports","Shift+Ctrl+O","Editing Scala Source"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"C/C++ Source","Find References","Shift+Ctrl+G","C/C++ Editor"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"Run/Debug","Display","Shift+Ctrl+D","Debugging Script"
